Resume Builder and Analyzer	https://github.com/GlutenFreeGrapes/	TypeScript, Claude	July 2026 - August 2026	Designed versatile resume builder for jobfinders in non-tech fields utilizing ATS-friendly Jake's Resume template	Created Claude-based resume analyzer to recommend feedback on keywords and experiences to tailor to specific jobs
AI-Powered Patent Examiner	https://github.com/GlutenFreeGrapes/	Python, RAG, OpenAI	June 2026 - Present	Designed and developed LLM-based system to speed up searching for prior art and matching patent claims to prior art.	Achieved 1000x speedup of searching process with minimal token usage, providing minimal-cost solution reducing timescale of search from days to minutes while preserving 0-data retention and complete confidentiality.
Compas Course Recommender	https://umcompas.com/	TypeScript, HTML, PostgreSQL, Python, Selenium	January 2026 - May 2026	Designed and developed system using Gemini backend LLM to provide University of Michigan course recommendations and reasoning based on user's degree program, course history, and preferences with iterative feedback mechanism.	Used PostgreSQL backend to store course data from over 14,000 courses with metrics for interest and workload.
Palabros	https://github.com/LuminescentBulb/palabros	Typescript, Python, CSS	September 2025	Designed and developed Spanish-language learning chatbot for MHacks using Typescript frontend and Python backend.	Implemented tokenization/dictionary functionality for easy vocabulary learning, used 2-LLM system consisting of summarizer model and chatbot model to reduce token usage and store facts from previous conversations.
Machine Learning Mail Sorter	https://github.com/GlutenFreeGrapes/mail-sorter	Python, Selenium, Pandas, HTML, Flask, Google OAuth	June 2025 - August 2025	Designed system for and developed an email classifier using Google OAuth login capable of categorizing 4000 emails per minute with automatic mail organization and spam detection. 	Written using Python backend with Naive Bayes classifier, uses GMail API to collect and sort emails, wrapped in Flask app using a simple and easy-to-follow HTML interface.
Cities Chain Discord Bot	https://github.com/GlutenFreeGrapes/cities-chain	Python, Pandas, MariaDB, SQL	July 2023 - Present	Designed and implemented a scalable Discord game supporting thousands of players across 1500+ Discord servers using efficient SQL backend data management in MariaDB for seamless gameplay. 	Applied Agile software maintenance and iterative feedback loops to ensure robust gameplay experience. 
Subway Challenge	https://github.com/GlutenFreeGrapes/subway-challenge	Python, Pandas	December 2022 - May 2024	Collected and analyzed GTFS data for metropolitan rail systems across 6 cities (Kochi, Los Angeles, Atlanta, San Francisco, Washington, New York), created graph structure using schedule data to model regular routes.	Implemented heuristics-based breadth-first search algorithm to find fastest complete traversals of all metro systems.
Election Prediction Algorithm	https://github.com/GlutenFreeGrapes/election-predictor	Jupyter Notebook, TensorFlow, Keras, Pandas, NumPy	August 2022 - May 2023	Implemented Python Tensorflow model in Jupyter Notebook to predict 85% of 2022 United States congressional winners using weighted average of 538 polls, demonstrating robust predictive analytics capabilities. 	Presented findings as part of senior research project to audience of 40 at tjSTAR technology research symposium. 
University of Pennsylvania Wharton Data Science Academy		R	July 2022	Trained neural networks on large text dataset to determine star ratings of Yelp reviews in R, gaining practical experience in Natural Language Processing (NLP) and model interpretation.	Built and analyzed datasets with R to assess company market caps and stock performance relative to the S&P 500.	Collaborated with a team to develop a predictive model for real-world stock price changes from insider trading.
Quizbowl Question Reader	https://github.com/GlutenFreeGrapes/QBits	Python, Enchant, BeautifulSoup, Tkinter	January 2022 - December 2022	Constructed Quizbowl study tool using efficient data structures for rapid access to a 5000+ question database, allowing for personalized statistics and improved studying methods and efficiency. 
QR Code Generator	https://github.com/GlutenFreeGrapes/QR-code-generator	Java	December 2020 - March 2021	Developed QR Code Generator to deepen understanding of Reed-Solomon codes, error correction, and Galois Fields, showcasing foundational computer science principles for data integrity and system robustness. 
